Player,Pos,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
"Kelly, Leroy",RB,3,6,8,87,136,3,16,93,2,0,1727,7274,74,70,190,2281,13,68
Jackie Smith\SmitJa00,TE,0,5,13,74,210,0,3,0,0,1,38,327,3,37,480,7918,40,81
Randy White\WhitRa00,DT,7,9,11,116,209,,,,,,,,,,,,,
"Fouts, Dan",QB,2,6,14,123,181,3297,5604,43040,254,242,224,476,13,32,1,0,0,0
Larry Little\LittLa00,G,5,5,11,104,183,,,,,,,,,,,,,
"Payton, Walter",RB,5,9,13,127,190,11,34,331,8,6,3838,16726,110,76,492,4538,15,75
Lem Barney\BarnLe00,DB,2,7,11,100,140,,,,,,5,45,0,27,,,,
John Mackey\MackJo00,TE,3,5,8,58,139,,,,,,19,127,0,33,331,5236,38,89
"Riggins, John",RB,1,1,12,90,175,0,2,0,0,0,2916,11352,104,66,250,2090,12,67
"Campbell, Earl",RB,3,5,7,67,115,1,3,57,1,1,2187,9407,74,81,121,806,0,66
John Hannah\HannJo00,G,7,9,13,112,183,,,,,,,,,,,,,
Stan Jones\JoneSt01,G,3,7,11,35,157,,,,,,,,,,,,,
Jan Stenerud\stenejan01,K,1,6,0,54,263,,,,,,1,0,0,0,,,,
Buck Buchanan\BuchBu00,DT,4,8,13,96,182,,,,,,,,,,,,,
"Griese, Bob",QB,2,8,12,104,161,1926,3429,25092,192,172,261,994,7,35,,,,
"Harris, Franco",RB,1,9,12,103,173,0,1,0,0,0,2949,12120,91,75,307,2287,9,44
Ted Hendricks\HendTe00,LB,4,8,14,112,215,,,,,,,,,,,,,
Jack Lambert\LambJa00,LB,6,9,10,111,146,,,,,,,,,,,,,
Bob St. Clair\St.CBo00,T,0,5,11,28,119,,,,,,,,,,,,,
Mel Blount\BlouMe00,DB,2,5,14,97,200,,,,,,,,,,,,,
"Bradshaw, Terry",QB,1,3,13,107,168,2025,3901,27989,212,210,444,2257,32,39,0,1,0,1
Art Shell\ShelAr00,T,2,8,12,93,207,,,,,,,,,,,,,
Willie Wood\WoodWi00,DB,5,8,11,95,166,,,,,,,,,,,,,
"Biletnikoff, Fred",WR,2,6,12,88,190,,,,,,,,,,589,8974,76,82
Mike Ditka\DitkMi00,TE,2,5,7,56,158,,,,,,2,2,0,11,427,5812,43,76
Jack Ham\HamxJa00,LB,6,8,12,113,162,,,,,,,,,,,,,
Alan Page\PageAl00,DT,6,9,15,143,218,,,,,,,,,,,,,
"Csonka, Larry",RB,2,5,11,75,146,,,,,,1891,8081,64,54,106,820,4,65
"Dawson, Len",QB,2,7,12,109,211,2136,3741,28711,239,183,294,1293,9,43,,,,
Joe Greene\GreeJo02,DT,4,10,12,109,181,,,,,,,,,,,,,
John Henry Johnson\JohnJo02,FB,0,4,9,41,143,2,5,25,2,1,1571,6803,48,87,186,1478,7,53
Jim Langer\LangJi00,C,3,6,8,90,151,,,,,,,,,,,,,
Don Maynard\MaynDo00,E,1,4,13,101,186,,,,,,24,70,0,14,633,11834,88,87
Gene Upshaw\UpshGe00,G,5,7,14,108,217,,,,,,,,,,,,,
Paul Hornung\HornPa00,HB,2,2,8,45,104,24,55,383,5,4,893,3711,50,72,130,1480,12,83
Ken Houston\HousKe02,DB,2,12,13,95,196,,,,,,,,,,,,,
Willie Lanier\LaniWi00,LB,3,8,11,86,149,,,,,,,,,,,,,
"Tarkenton, Fran",QB,1,9,18,148,246,3686,6467,47003,342,266,675,3674,32,52,0,-12,0,0
Doak Walker\WalkDo00,HB,4,5,5,0,67,7,28,75,2,2,309,1520,12,51,152,2539,21,83
Frank Gatski\GatsFr00,C,3,1,10,0,144,,,,,,,,,,,,,
"Namath, Joe",QB,1,5,9,94,140,1886,3762,27663,173,220,71,140,7,39,,,,
"Simpson, O.J.",RB,5,6,11,98,135,6,16,110,1,0,2404,11236,61,94,203,2142,14,64
"Staubach, Roger",QB,0,6,8,104,131,1685,2958,22700,153,109,410,2264,20,33,1,-13,0,0
Willie Brown\BrowWi01,DB,5,9,13,109,204,,,,,,,,,,,,,
